Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
laxmi-charan-3,Laxmi Charan,"<ul>
<li>A small pair of Laxmi Mata Charan</li>
</ul>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'144,0.0,shopify,deny,manual,3.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-07-31at19.11.08.jpg?v=1729571717,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,1.01,true,,,true,,,active
laxmi-charan-velvet-base,Laxmi Charan - Velvet Base (Set of 1),"<ul>
<li>One Charan set available </li>
</ul>
<p>Note: Photo shows 2 charan sets but one order only contains 1 set</p>",Kalyan Kreations,Religious & Ceremonial,"","",true,Title,Default Title,,,,,,,,'573,0.0,shopify,deny,manual,6.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-26at15.43.19.jpg?v=1729571434,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
laxmi-charan-glass-work-1,Laxmi Charan - Glass work,"",Kalyan Kreations,Religious & Ceremonial,"","",true,Title,Default Title,,,,,,,,'561,0.0,shopify,deny,manual,4.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.15.30.jpg?v=1729571270,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,0.66,true,,,true,,,active
laxmi-charan-glass-work-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.15.31.jpg?v=1729571270,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laxmi-charan-glass-work,Laxmi Charan - Glass work,"",Kalyan Kreations,Religious & Ceremonial,"","",true,Title,Default Title,,,,,,,,'560,0.0,shopify,deny,manual,5.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.14.41_1.jpg?v=1729571187,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,0.90,true,,,true,,,active
laxmi-charan-glass-work,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.14.41_2.jpg?v=1729571187,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laxmi-charan-glass-work,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.14.41.jpg?v=1729571187,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laxmi-charan-2,Laxmi Charan,"",Kalyan Kreations,Religious & Ceremonial,"","",true,Title,Default Title,,,,,,,,'469,0.0,shopify,deny,manual,3.25,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-16at19.23.51.jpg?v=1729571034,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,1.84,true,,,true,,,active
laxmi-charan-1,Laxmi Charan,"",Kalyan Kreations,Religious & Ceremonial,"","",true,Title,Default Title,,,,,,,,'468,0.0,shopify,deny,manual,5.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-16at19.14.17.jpg?v=1729570923,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,2.64,true,,,true,,,active
laxmi-charan-set-of-2,Laxmi Charan - Set of 2,"<ul>
<li>Size: 2x2 inch</li>
</ul>",Kalyan Kreations,Religious & Ceremonial,"","",true,Title,Default Title,,,,,,,,'266,0.0,shopify,deny,manual,5.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/Selected.jpg?v=1729570653,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,1.25,true,,,true,,,active
laxmi-charan-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-03-15at11.10.13.jpg?v=1729570653,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-kurta-pajama-set-2,Red Kurta Pajama Set,"<ul>
<li>Red Kurta With White Pajama</li>
</ul>
<p>Note: Actual color might be a little different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"40""",,,,,,,,'129,0.0,shopify,deny,manual,37.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/unnamed_f087d078-4770-4d96-a2dc-f99be9592acf.jpg?v=1729493176,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,18.30,true,,,true,,,active
10-ft-plaza-marigold-toran-1,10 ft Plaza Marigold Toran,"<ul>
<li>
<span class=""s1""></span>Size: 10 ft</li>
<li>Marigold Flower Toran</li>
</ul>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'958,0.0,shopify,deny,manual,82.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/Screenshot2024-10-18at2.11.34PM.png?v=1729286036,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,28.83,true,,,true,,,active
10-ft-plaza-marigold-toran,10 ft Plaza Marigold Toran,"<ul>
<li>
<span class=""s1""></span>Size: 10 ft</li>
<li>Marigold Flower Toran</li>
</ul>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'857,0.0,shopify,deny,manual,82.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-04-30at03.29.00.jpg?v=1729230322,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,26.94,true,,,true,,,active
10-ft-plaza-toran-2,10 ft Plaza Toran,"<ul>
<li>
<span class=""s1""></span>Size: 10 ft</li>
<li>Marigold Flower Toran</li>
</ul>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'959,0.0,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/Screenshot2024-10-17at10.35.35PM_447192f2-33a4-4b31-9600-ccf4ee643ce4.png?v=1729229883,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,28.81,true,,,true,,,active
10-ft-plaza-toran,10 ft Plaza Toran,"<ul>
<li>
<span class=""s1""></span>Size: 10 ft</li>
<li>Marigold Flower Toran</li>
</ul>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'957,0.0,shopify,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/Screenshot2024-10-17at10.29.51PM.png?v=1729229469,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,26.89,true,,,true,,,active
cloth-toran,Cloth Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'565,0.0,shopify,deny,manual,12.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at17.49.33.jpg?v=1729227592,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,2.94,true,,,true,,,active
cloth-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at17.49.34.jpg?v=1729227592,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lotus-plastic-toran,Lotus Plastic Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'563,0.0,shopify,deny,manual,7.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.20.17.jpg?v=1729227450,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,1.18,true,,,true,,,active
lotus-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.20.17_1.jpg?v=1729227450,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lotus-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.20.17_2.jpg?v=1729227450,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lotus-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.20.17_3.jpg?v=1729227450,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swastika-and-mango-leaves-plastic-toran,Swastika and Mango Leaves Plastic Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'562,0.0,shopify,deny,manual,7.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.18.44_1.jpg?v=1729225619,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,1.18,true,,,true,,,active
swastika-and-mango-leaves-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.18.44_2.jpg?v=1729225619,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swastika-and-mango-leaves-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.18.44_3.jpg?v=1729225619,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swastika-and-mango-leaves-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.18.44.jpg?v=1729225619,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swastika-and-mango-leaves-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.18.45_1.jpg?v=1729225619,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swastika-and-mango-leaves-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.18.45.jpg?v=1729225619,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-beads-plastic-toran,White Beads Plastic Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'557,0.0,shopify,deny,manual,12.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.03.25.jpg?v=1729225428,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,3.82,true,,,true,,,active
white-beads-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.03.25_1.jpg?v=1729225428,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-beads-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.03.25_2.jpg?v=1729225428,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
